title	queer?	yes/all	%	tags	url
title	queer?	yes/all	%	tags	url
title	queer?	yes/all	%	tags	url
L0VE ST0RY 	No	657/2046	32.111436950146626	"#sonic,#sega,#love_story,#amy_rose,#sonamy,#sonic_el_erizo,#anne_valentine,#sonic,#sega,#love_story,#amy_rose,#sonamy,#sonic_el_erizo,#anne_valentine,,romance,comedy,,,"	"https://tapas.io/series/L0VE-ST0RY"
Gerl's (NOT SO) Adventurous Adventures 	No	657/2047	32.095749877870055	",comedy,,"	"https://tapas.io/series/Gerls-NOT-SO-Adventurous-Adventures"
Bring Us Together Baby! 	YESSSSS	658/2048	32.12890625	",bl,slice of life,comedy,,,,"	"https://tapas.io/series/Bring-Us-Together-Baby"
If Only We Could 	YESSSSS	659/2049	32.16203025866276	"#romance,#drama,#school,#game,#bl,#videogame,#lgbtq,#boyslove,#slowburn,#weaktostrong,#romance,#drama,#school,#game,#bl,#videogame,#lgbtq,#boyslove,#slowburn,#weaktostrong,,bl,drama,gaming,,,,"	"https://tapas.io/series/If-Only-We-Could2"
Holy War 	YESSSSS	660/2050	32.19512195121951	"#action,#fantasy,#tragedy,#angel,#demon,#amateur,#english,#holy_war,#sciencefiction,#latam,#action,#fantasy,#tragedy,#angel,#demon,#amateur,#english,#holy_war,#sciencefiction,#latam,,action,drama,fantasy,,,,"	"https://tapas.io/series/Holy-War"
Deadly Deal 	No	660/2051	32.179424670892246	"#souls,#grim_reaper,#exorcism,#deadly_deal,#souls,#grim_reaper,#exorcism,#deadly_deal,,fantasy,action,,,"	"https://tapas.io/series/Deadly-Deal"
I Fell for the Dead King 	YESSSSS	661/2052	32.212475633528264	"#fantasy,#drama,#tragedy,#historical,#bl,#gl,#cin,#cinah,#ifdk,#ifellforthedeadking,#fantasy,#drama,#tragedy,#historical,#bl,#gl,#cin,#cinah,#ifdk,#ifellforthedeadking,,fantasy,drama,lgbtq+,,,,"	"https://tapas.io/series/I-Fell-for-the-Dead-King"
Milena 	No	661/2053	32.196785192401364	"#manga,#drama,#erotic,#sliceoflife,#quadrinhobrasileiro,#quadrinho,#borderline,#bandadesenhada,#psicologia,#milena,#manga,#drama,#erotic,#sliceoflife,#quadrinhobrasileiro,#quadrinho,#borderline,#bandadesenhada,#psicologia,#milena,,drama,romance,slice of life,,,,"	"https://tapas.io/series/Milena"
Idioms 	No	661/2054	32.1811100292113	",comedy,,"	"https://tapas.io/series/Idioms"
The usb drive 	No	661/2055	32.1654501216545	",comedy,,"	"https://tapas.io/series/The-usb-drive"
