title	queer?	yes/all	%	tags	url
Interchangeable 	No	104/395	26.329113924050635	"#dream,#action,#fantasy,#dream,#action,#fantasy,action,action,fantasy,action,fantasy,"	"https://tapas.io/series/Interchangeable"
Simulation Husband 	YESSSSS	105/396	26.515151515151516	"#gay,#couple,#bl,#husband,#lovers,#livingtogether,#handsome,#gay,#couple,#bl,#husband,#lovers,#livingtogether,#handsome,bl,bl,bl,"	"https://tapas.io/series/Simulation-Husband"
Casi Imposible 	No	105/397	26.448362720403022	"romance,romance,fantasy,romance,fantasy,"	"https://tapas.io/series/Casi-Imposible"
Dave Skunk 	No	105/398	26.38190954773869	"#comic_strip,#mushrooms,#weed,#skunk,#psychedelic,#dave,#tom_c_crypt,#comic_strip,#mushrooms,#weed,#skunk,#psychedelic,#dave,#tom_c_crypt,comedy,comedy,slice of life,fantasy,comedy,slice of life,fantasy,"	"https://tapas.io/series/DaveSkunk"
The Lost 	YESSSSS	106/399	26.56641604010025	"#fantasy,#drama,#werewolf,#church,#bl,#pagan,#fantasy,#drama,#werewolf,#church,#bl,#pagan,bl,bl,fantasy,bl,fantasy,"	"https://tapas.io/series/The-Lo"
Dear Comic 	No	106/400	26.5	"slice of life,slice of life,slice of life,"	"https://tapas.io/series/Dear-Comic"
A Stew of Stars 	No	106/401	26.433915211970078	"#cute,#fantasy,#space,#funny,#dragons,#cooking,#parenthood,#heartwarming,#female_protagonist,#catoony,#cute,#fantasy,#space,#funny,#dragons,#cooking,#parenthood,#heartwarming,#female_protagonist,#catoony,fantasy,fantasy,drama,comedy,fantasy,drama,comedy,"	"https://tapas.io/series/AStewofStars"
Timewalkers 	No	106/402	26.368159203980102	"fantasy,fantasy,action,drama,fantasy,action,drama,"	"https://tapas.io/series/Timewalkers"
To the Afterlife 	No	106/403	26.302729528535977	"fantasy,fantasy,fantasy,"	"https://tapas.io/series/To-the-Afterlife"
The Everyday Life of Prota 	No	106/404	26.237623762376238	"action,action,slice of life,comedy,action,slice of life,comedy,"	"https://tapas.io/series/The-Everyday-Life-of-Prota"
Sons of Devil - CUPHEAD AU 	No	106/405	26.172839506172842	"fantasy,fantasy,gaming,comedy,fantasy,gaming,comedy,"	"https://tapas.io/series/Sons-of-Devil---CUPHEAD-AU"
Clover’s World 	No	106/406	26.108374384236456	"gaming,gaming,fantasy,gaming,fantasy,"	"https://tapas.io/series/Clovers-World"
TRIAD!  	No	106/407	26.044226044226043	"#action,#manga,#mystery,#crime,#fighting,#triad,#action,#manga,#mystery,#crime,#fighting,#triad,action,action,drama,mystery,action,drama,mystery,"	"https://tapas.io/series/TRIAD-"
Prueba 2 	No	106/408	25.98039215686275	"romance,romance,romance,"	"https://tapas.io/series/Prueba-2"
Danse Macabre  	No	106/409	25.91687041564792	"#action,#fantasy,#romance,#drama,#mystery,#action,#fantasy,#romance,#drama,#mystery,fantasy,fantasy,action,drama,fantasy,action,drama,"	"https://tapas.io/series/Danse-Macabre-"
Un Humano entre Vampiros 	YESSSSS	107/410	26.097560975609756	"#fantasy,#romance,#drama,#comedy,#mystery,#vampires,#spanish,#bl,#boys_love,#vampiros,#fantasy,#romance,#drama,#comedy,#mystery,#vampires,#spanish,#bl,#boys_love,#vampiros,bl,bl,drama,mystery,bl,drama,mystery,"	"https://tapas.io/series/Un-Humano-entre-Vampiros"
