title	queer?	yes/all	%	tags	url
Chroma Key 	YESSSSS	158/459	34.42265795206972	"#lesbian,#aliens,#robots,#lgbt,#bisexual,#deaf,#moth,#trans,#asexual,#nonbinary,#wlw,#power_rangers,#lesbian,#aliens,#robots,#lgbt,#bisexual,#deaf,#moth,#trans,#asexual,#nonbinary,#wlw,#power_rangers,drama,drama,lgbtq+,drama,lgbtq+,"	"https://tapas.io/series/ChromaKey/info"
Cloud Nine 	YESSSSS	159/460	34.56521739130435	"#drama,#tragedy,#comedy,#bl,#boys_love,#gore,#yakuza,#mafia,#highschool,#slice_of_life,#c9,#m0n0,#m0n0kr0m,#school_life,#cloud_nine,#kr0m,#drama,#tragedy,#comedy,#bl,#boys_love,#gore,#yakuza,#mafia,#highschool,#slice_of_life,#c9,#m0n0,#m0n0kr0m,#school_life,#cloud_nine,#kr0m,drama,drama,drama,"	"https://tapas.io/series/Cloud-Nine/info"
Angry Gays 	YESSSSS	160/461	34.70715835140998	"#lesbian,#gay,#action,#romance,#superhero,#depression,#ptsd,#lgbt,#bisexual,#transgender,#mental_illness,#pansexual,#trans,#asexual,#non_binary,#autistic,#lesbian,#gay,#action,#romance,#superhero,#depression,#ptsd,#lgbt,#bisexual,#transgender,#mental_illness,#pansexual,#trans,#asexual,#non_binary,#autistic,drama,drama,drama,"	"https://tapas.io/series/AngryGays/info"
Strays 	No	160/462	34.63203463203463	"fantasy,fantasy,fantasy,"	"https://tapas.io/series/strays/info"
coLouR* 	YESSSSS	161/463	34.77321814254859	"#action,#fantasy,#romance,#drama,#culture,#modern,#mythology,#color,#psychological,#mystery,#supernatural,#dark,#colour,#lgbt,#contemporary,#folklore,#international,#lgbtqia,#asterisk,#action,#fantasy,#romance,#drama,#culture,#modern,#mythology,#color,#psychological,#mystery,#supernatural,#dark,#colour,#lgbt,#contemporary,#folklore,#international,#lgbtqia,#asterisk,fantasy,fantasy,action,lgbtq+,fantasy,action,lgbtq+,"	"https://tapas.io/series/coLouR/info"
Your Next Distraction 	YESSSSS	162/464	34.91379310344828	"#gay,#romance,#drama,#angst,#bl,#lgbtqa,#boyslove,#gay,#romance,#drama,#angst,#bl,#lgbtqa,#boyslove,bl,bl,drama,lgbtq+,bl,drama,lgbtq+,"	"https://tapas.io/series/Your-Next-Distraction/info"
EQUALIZE 	No	162/465	34.83870967741935	"#drama,#mystery,#crime,#urban,#drama,#mystery,#crime,#urban,mystery,mystery,action,drama,mystery,action,drama,"	"https://tapas.io/series/EQUALIZE/info"
Sarcasm and Narcissism  	No	162/466	34.763948497854074	"#life,#comedy,#humor,#sarcasm,#slice_of_life,#auto_bio,#life,#comedy,#humor,#sarcasm,#slice_of_life,#auto_bio,slice of life,slice of life,slice of life,"	"https://tapas.io/series/Sarcasm-and-Narcissim-/info"
My Love, My Story 	YESSSSS	163/467	34.90364025695932	"#romance,#bl,#romance,#bl,bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/My-Love-My-Story/info"
Castoff 	No	163/468	34.82905982905983	"#adventure,#manga,#anime,#magic,#fantasy,#comic,#webcomic,#vector,#frankie,#liam,#castoff,#marina,#sonja,#cast_off,#arianna,#terran,#zera,#rori,#adventure,#manga,#anime,#magic,#fantasy,#comic,#webcomic,#vector,#frankie,#liam,#castoff,#marina,#sonja,#cast_off,#arianna,#terran,#zera,#rori,fantasy,fantasy,drama,lgbtq+,fantasy,drama,lgbtq+,"	"https://tapas.io/series/Castoff/info"
Ghost Lights 	YESSSSS	164/469	34.9680170575693	"#gay,#fantasy,#horror,#reincarnation,#supernatural,#surreal,#bl,#lgbt,#paranormal,#creatures,#spirits,#childhood_friends,#mlm,#slowburn,#they_adopt_a_cat,#they_share_the_bed,#gay,#fantasy,#horror,#reincarnation,#supernatural,#surreal,#bl,#lgbt,#paranormal,#creatures,#spirits,#childhood_friends,#mlm,#slowburn,#they_adopt_a_cat,#they_share_the_bed,lgbtq+,lgbtq+,romance,mystery,lgbtq+,romance,mystery,"	"https://tapas.io/series/Ghost-Lights/info"
Victim. Gate of Spirits 	YESSSSS	165/470	35.1063829787234	"#fantasy,#horror,#boys_love,#swamp,#ivo,#dragosh,#fantasy,#horror,#boys_love,#swamp,#ivo,#dragosh,bl,bl,bl,"	"https://tapas.io/series/Victim-Gate-of-Spirits/info"
CEO-san & Hisho-kun 	YESSSSS	166/471	35.24416135881104	"#romance,#shounen_ai,#comedy,#bl,#slice_of_life,#romance,#shounen_ai,#comedy,#bl,#slice_of_life,bl,bl,slice of life,comedy,bl,slice of life,comedy,"	"https://tapas.io/series/CEO-san--Hisho-kun/info"
Scarlet 	YESSSSS	167/472	35.38135593220339	"#love,#yaoi,#manga,#romance,#drama,#color,#bl,#scarlet,#love,#yaoi,#manga,#romance,#drama,#color,#bl,#scarlet,bl,bl,romance,slice of life,bl,romance,slice of life,"	"https://tapas.io/series/Scarlet/info"
Dishonest Honesty (OLD) 	YESSSSS	168/473	35.517970401691336	"#cute,#gay,#romance,#drama,#funny,#shounen_ai,#comedy,#shoujo,#bl,#lgbt,#slice_of_life,#dishonest_honesty,#joori,#cute,#gay,#romance,#drama,#funny,#shounen_ai,#comedy,#shoujo,#bl,#lgbt,#slice_of_life,#dishonest_honesty,#joori,bl,bl,romance,comedy,bl,romance,comedy,"	"https://tapas.io/series/Dishonest-Honesty-OLD/info"
Bones and Creatures 	YESSSSS	169/474	35.654008438818565	"#magic,#lgbtq,#friends_to_lovers,#slice_of_life,#modern_fantasy,#mutual_pining,#magic,#lgbtq,#friends_to_lovers,#slice_of_life,#modern_fantasy,#mutual_pining,bl,bl,lgbtq+,slice of life,bl,lgbtq+,slice of life,"	"https://tapas.io/series/Bones-and-Creatures/info"
The Secret Tales of a 30-Year-Old Gay Bachelor 	No	169/475	35.578947368421055	"bl,bl,drama,slice of life,bl,drama,slice of life,"	"https://tapas.io/series/the-secret-tales-of-a-30-year-old-gay-bachelor/info"
Abyss Reflections 	No	169/476	35.50420168067227	"lgbtq+,lgbtq+,romance,bl,lgbtq+,romance,bl,"	"https://tapas.io/series/Abyss-Reflections/info"
Snek BOIS 	YESSSSS	170/477	35.63941299790356	"#yaoi,#shounen_ai,#comedy,#bl,#yaoi,#shounen_ai,#comedy,#bl,bl,bl,bl,"	"https://tapas.io/series/Snekbois/info"
Man Time! 	YESSSSS	171/478	35.77405857740586	"#gay,#lgbt,#bisexual,#transgender,#trans,#ftm,#gay,#lgbt,#bisexual,#transgender,#trans,#ftm,comedy,comedy,comedy,"	"https://tapas.io/series/mantime/info"
CARTA PRAT 	No	171/479	35.699373695198325	"#latinoamerica,#carta_prat,#sudamerica,#latinoamerica,#carta_prat,#sudamerica,mystery,mystery,mystery,"	"https://tapas.io/series/CARTA-PRAT/info"
Carnivore or Herbivore 	No	171/480	35.625	"bl,bl,romance,fantasy,bl,romance,fantasy,"	"https://tapas.io/series/carnivoreorherbivore/info"
Triad 	YESSSSS	172/481	35.75883575883576	"#gay,#fantasy,#bl,#bi,#polyamory,#poly,#gay,#fantasy,#bl,#bi,#polyamory,#poly,lgbtq+,lgbtq+,bl,slice of life,lgbtq+,bl,slice of life,"	"https://tapas.io/series/triad/info"
Our Primary Interest 	YESSSSS	173/482	35.892116182572614	"#gay,#adventure,#fantasy,#monster,#romance,#drama,#demon,#horror,#mystery,#thriller,#supernatural,#dark,#bl,#adult,#lgbt,#fluffy,#sliceoflife,#polyamory,#trauma,#polyamorous,#mental_illness,#shapeshifter,#ot3,#monsterboyfriend,#cypienne,#ourprimaryinterest,#our_primary_interest,#opi,#gay,#adventure,#fantasy,#monster,#romance,#drama,#demon,#horror,#mystery,#thriller,#supernatural,#dark,#bl,#adult,#lgbt,#fluffy,#sliceoflife,#polyamory,#trauma,#polyamorous,#mental_illness,#shapeshifter,#ot3,#monsterboyfriend,#cypienne,#ourprimaryinterest,#our_primary_interest,#opi,bl,bl,bl,"	"https://tapas.io/series/Our-Primary-Interest/info"
Signals 	No	173/483	35.81780538302277	"mystery,mystery,lgbtq+,mystery,lgbtq+,"	"https://tapas.io/series/signals/info"
Quinoa with White Sauce 	YESSSSS	174/484	35.9504132231405	"#love,#romance,#demons,#fiction,#bl,#lgbt,#polyamory,#gl,#modern_fantasy,#love,#romance,#demons,#fiction,#bl,#lgbt,#polyamory,#gl,#modern_fantasy,slice of life,slice of life,romance,lgbtq+,slice of life,romance,lgbtq+,"	"https://tapas.io/series/Quinoa-with-White-Sauce/info"
The Travelers 	YESSSSS	175/485	36.08247422680412	"#romance,#horror,#bl,#apocalyptic,#digital_art,#boy_love,#paint_tool_sai,#romance,#horror,#bl,#apocalyptic,#digital_art,#boy_love,#paint_tool_sai,bl,bl,bl,"	"https://tapas.io/series/The-Travelers/info"
BooKeeper 	YESSSSS	176/486	36.21399176954733	"#romance,#comedy,#bl,#romance,#comedy,#bl,bl,bl,bl,"	"https://tapas.io/series/BooKeeper/info"
NPCs Can Save the World Too! 	YESSSSS	177/487	36.34496919917864	"#fantasy,#lgbt,#mlm,#isekai,#biweekly,#fantasy,#lgbt,#mlm,#isekai,#biweekly,fantasy,fantasy,romance,lgbtq+,fantasy,romance,lgbtq+,"	"https://tapas.io/series/NPCs-Can-Save-the-World-Too/info"
The Boy & the Wolf 	YESSSSS	178/488	36.47540983606557	"#manga,#drama,#humor,#fight,#lgbt,#mafia,#zpico,#the_boy_and_the_wolf,#manga,#drama,#humor,#fight,#lgbt,#mafia,#zpico,#the_boy_and_the_wolf,bl,bl,drama,comedy,bl,drama,comedy,"	"https://tapas.io/series/The-Boy-and-the-Wolf/info"
Good Omens - Get Along AU 	No	178/489	36.400817995910025	"#au,#crowley,#hastur,#good_omens,#aziraphale,#ligur,#get_along_au,#au,#crowley,#hastur,#good_omens,#aziraphale,#ligur,#get_along_au,comedy,comedy,comedy,"	"https://tapas.io/series/Good-Omens-Get-Along-AU/info"
Spring is sure to follow 	No	178/490	36.3265306122449	"lgbtq+,lgbtq+,romance,slice of life,lgbtq+,romance,slice of life,"	"https://tapas.io/series/Spring-is-sure-to-follow/info"
What If 	YESSSSS	179/491	36.456211812627295	"#gay,#yaoi,#yuri,#comedy,#boys_love,#manhwa,#gijinka,#fastfood,#yaoi_manga,#yuri_manga,#gay,#yaoi,#yuri,#comedy,#boys_love,#manhwa,#gijinka,#fastfood,#yaoi_manga,#yuri_manga,bl,bl,bl,"	"https://tapas.io/series/What-If-azraelsanti/info"
Rest in a Demon's Embrace 	YESSSSS	180/492	36.58536585365854	"#love,#adventure,#action,#fantasy,#romance,#bl,#wuxia,#cultivation,#xianxia,#xuanhuan,#love,#adventure,#action,#fantasy,#romance,#bl,#wuxia,#cultivation,#xianxia,#xuanhuan,bl,bl,bl,"	"https://tapas.io/series/Rest-in-a-Demons-Embrace/info"
RS: Another 	YESSSSS	181/493	36.71399594320487	"#drama,#bl,#rabbit,#kemonomimi,#slice_of_life,#drama,#bl,#rabbit,#kemonomimi,#slice_of_life,bl,bl,drama,slice of life,bl,drama,slice of life,"	"https://tapas.io/series/RS-Another/info"
u̶n̶matched 	YESSSSS	182/494	36.84210526315789	"#bl,#omegaverse,#bl,#omegaverse,bl,bl,drama,comedy,bl,drama,comedy,"	"https://tapas.io/series/unmatched/info"
Constellation 	YESSSSS	183/495	36.96969696969697	"#fantasy,#bl,#lgbtq,#polyamory,#poly,#fantasy,#bl,#lgbtq,#polyamory,#poly,lgbtq+,lgbtq+,bl,fantasy,lgbtq+,bl,fantasy,"	"https://tapas.io/series/Constellationcomic/info"
DEPRESSO [BL] 	YESSSSS	184/496	37.096774193548384	"#love,#gay,#yaoi,#drama,#demon,#depression,#sex,#bl,#psycho,#lovestory,#dailylife,#boyslove,#shonenai,#depresso,#love,#gay,#yaoi,#drama,#demon,#depression,#sex,#bl,#psycho,#lovestory,#dailylife,#boyslove,#shonenai,#depresso,bl,bl,bl,"	"https://tapas.io/series/DEPRESSO-BL/info"
NIXE - 14 days with a merman 	No	184/497	37.02213279678068	"#love,#fantasy,#romance,#comedy,#merman,#romcom,#love,#fantasy,#romance,#comedy,#merman,#romcom,bl,bl,bl,"	"https://tapas.io/series/NIXE---14-days-with-a-merman/info"
Monster Dating 	YESSSSS	185/498	37.148594377510044	"#gay,#yaoi,#monster,#comic,#romance,#free,#bl,#boylove,#boy_love,#monster_dating,#gay,#yaoi,#monster,#comic,#romance,#free,#bl,#boylove,#boy_love,#monster_dating,bl,bl,bl,"	"https://tapas.io/series/Monster-Dating/info"
Pheromones - Love Stories 	No	185/499	37.07414829659319	"#love,#kiss,#boyxboy,#omegaverse,#love,#kiss,#boyxboy,#omegaverse,bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/pheromoneslovestories/info"
Rysttle's Journal 	No	185/500	37.0	"#artist,#sketch,#journal,#diary,#sketchy,#daily_life,#4_koma,#4_panel,#artist,#sketch,#journal,#diary,#sketchy,#daily_life,#4_koma,#4_panel,comedy,comedy,comedy,"	"https://tapas.io/series/Rysttles-Journal/info"
A Boy and his Demon 	YESSSSS	186/501	37.12574850299401	"#manga,#mystery,#food,#bl,#japan,#a_boy_and_his_demon,#manga,#mystery,#food,#bl,#japan,#a_boy_and_his_demon,fantasy,fantasy,lgbtq+,mystery,fantasy,lgbtq+,mystery,"	"https://tapas.io/series/A-Boy-and-his-Demon/info"
The Angel and the Demon 	YESSSSS	187/502	37.25099601593625	"#fantasy,#romance,#drama,#mystery,#bl,#boys_love,#fantasy,#romance,#drama,#mystery,#bl,#boys_love,romance,romance,bl,fantasy,romance,bl,fantasy,"	"https://tapas.io/series/The-Angel-and-the-Demon1/info"
Do No Evil 	No	187/503	37.17693836978131	"bl,bl,bl,"	"https://tapas.io/series/Do-No-Evil/info"
DemON 	YESSSSS	188/504	37.301587301587304	"#yaoi,#manga,#anime,#romance,#chicken,#fun,#comedy,#boys,#memes,#yaoi,#manga,#anime,#romance,#chicken,#fun,#comedy,#boys,#memes,bl,bl,bl,"	"https://tapas.io/series/DemON4/info"
Manifest Harmony 	YESSSSS	189/505	37.42574257425743	"#fantasy,#romance,#boy_love,#lgbtq,#longform_comic,#fantasy,#romance,#boy_love,#lgbtq,#longform_comic,romance,romance,romance,"	"https://tapas.io/series/Manifest-Harmony/info"
Hands on!! 	YESSSSS	190/506	37.54940711462451	"#bl,#nsfw,#hands_on,#cyandy,#bl,#nsfw,#hands_on,#cyandy,bl,bl,bl,"	"https://tapas.io/series/HandsOn/info"
