title	queer?	yes/all	%	tags	url
 No Way 	YESSSSS	10/17	58.82352941176471	"#love,#vampire,#magic,#fantasy,#comic,#romance,#comedy,#werewolf,#unicorn,#elf,#vampires,#bl,#bl,#adventures,#academy,#vamps,#fairy_tale,#school_love,#love,#vampire,#magic,#fantasy,#comic,#romance,#comedy,#werewolf,#unicorn,#elf,#vampires,#bl,#bl,#adventures,#academy,#vamps,#fairy_tale,#school_love,fantasy,fantasy,romance,bl,fantasy,romance,bl,"	"https://tapas.io/series/noway/info"
 In My Closet 	YESSSSS	11/18	61.111111111111114	"#bl,#boyband,#hidden_love,#bl,#boyband,#hidden_love,bl,bl,drama,comedy,bl,drama,comedy,"	"https://tapas.io/series/inmycloset/info"
 MODE II 	No	11/19	57.89473684210527	"horror,horror,drama,mystery,fantasy,horror,drama,mystery,fantasy,"	"https://tapas.io/series/modeii/info"
 Realism (BL) 	YESSSSS	12/20	60.0	"#fantasy,#drama,#bl,#slice_of_life,#cin,#cin_ah,#cinah,#fantasy,#drama,#bl,#slice_of_life,#cin,#cin_ah,#cinah,bl,bl,drama,fantasy,bl,drama,fantasy,"	"https://tapas.io/series/Realism-BL/info"
 Mr. A and Mr. B 	YESSSSS	13/21	61.904761904761905	"bl,bl,comedy,bl,comedy,"	"https://tapas.io/series/mra-and-mrb/info"
 Fake 	YESSSSS	14/22	63.63636363636363	"#femslash,#gl,#femslash,#gl,gl,gl,gl,"	"https://tapas.io/series/FakeGL/info"
 Deryli and the Magician's Key 	YESSSSS	15/23	65.21739130434783	"#adventure,#fantasy,#mystery,#lgbt,#adventure,#fantasy,#mystery,#lgbt,fantasy,fantasy,lgbtq+,mystery,fantasy,lgbtq+,mystery,"	"https://tapas.io/series/deryli/info"
 Intergalactic Hockey League 	YESSSSS	16/24	66.66666666666666	"#gay,#hockey,#sports,#mental_illness,#gay,#hockey,#sports,#mental_illness,lgbtq+,lgbtq+,slice of life,lgbtq+,slice of life,"	"https://tapas.io/series/tufore/info"
 ToxiCC 	YESSSSS	17/25	68.0	"#action,#fantasy,#romance,#comedy,#boys_love,#catboys,#nightmaker,#action,#fantasy,#romance,#comedy,#boys_love,#catboys,#nightmaker,bl,bl,bl,"	"https://tapas.io/series/ToxiCC/info"
 Apricot Cookie(s)! 	No	17/26	65.38461538461539	"#manga,#magical_girls,#mahou_shoujo,#magical_girl,#apricot_cookies,#manga,#magical_girls,#mahou_shoujo,#magical_girl,#apricot_cookies,comedy,comedy,drama,comedy,drama,"	"https://tapas.io/series/apricotcookies/info"
 Crimson Tracks 	YESSSSS	18/27	66.66666666666666	"bl,bl,romance,horror,drama,bl,romance,horror,drama,"	"https://tapas.io/series/crimsontracks/info"
 Walking to Do 	No	18/28	64.28571428571429	"slice of life,slice of life,slice of life,"	"https://tapas.io/series/walkingtodo/info"
 A World Ruled by Cats 	No	18/29	62.06896551724138	"fantasy,fantasy,romance,drama,fantasy,romance,drama,"	"https://tapas.io/series/aworldruledbycats/info"
 Day Dragon 	No	18/30	60.0	"#adventure,#dragon,#knight,#armor,#duo,#armour,#adventure,#dragon,#knight,#armor,#duo,#armour,fantasy,fantasy,fantasy,"	"https://tapas.io/series/Day-Dragon/info"
 Cover-up! 	YESSSSS	19/31	61.29032258064516	"#love,#drama,#boys_love,#love,#drama,#boys_love,romance,romance,romance,"	"https://tapas.io/series/Cover-up/info"
 Broken Glass 	No	19/32	59.375	"slice of life,slice of life,slice of life,"	"https://tapas.io/series/Broken-Glass/info"
 Green & Gold 	YESSSSS	20/33	60.60606060606061	"#drama,#school,#lgbt,#lgbtq,#sliceoflife,#teenagers,#comingofage,#boardingschool,#drama,#school,#lgbt,#lgbtq,#sliceoflife,#teenagers,#comingofage,#boardingschool,slice of life,slice of life,lgbtq+,slice of life,lgbtq+,"	"https://tapas.io/series/GreenGold/info"
 Fading Colors 	YESSSSS	21/34	61.76470588235294	"#action,#manga,#boys_love,#catboys,#nightmaker,#toxicc,#shonen_ai,#action,#manga,#boys_love,#catboys,#nightmaker,#toxicc,#shonen_ai,bl,bl,bl,"	"https://tapas.io/series/Fading-Colors/info"
 Chasing Fire 	YESSSSS	22/35	62.857142857142854	"#love,#yaoi,#mature,#drama,#comedy,#music,#bl,#boyxboy,#romanace,#boy_love,#love,#yaoi,#mature,#drama,#comedy,#music,#bl,#boyxboy,#romanace,#boy_love,romance,romance,romance,"	"https://tapas.io/series/Chasing-Fire/info"
 RandoWis 	No	22/36	61.111111111111114	"#comics,#funny,#friendship,#comedy,#parody,#random,#weird,#stuff,#pokemon,#wisdom,#series,#randowis,#comics,#funny,#friendship,#comedy,#parody,#random,#weird,#stuff,#pokemon,#wisdom,#series,#randowis,comedy,comedy,comedy,"	"https://tapas.io/series/RandoWis/info"
 Autism is a Bitch! 	No	22/37	59.45945945945946	"#disability,#autism,#disability,#autism,slice of life,slice of life,slice of life,"	"https://tapas.io/series/Autism-is-a-Bitch/info"
 Waste Of Time 	YESSSSS	23/38	60.526315789473685	"#fantasy,#romance,#drama,#friendship,#comedy,#lgbt,#lgbtq,#siblings,#british,#dramedy,#slice_of_life,#fantasy,#romance,#drama,#friendship,#comedy,#lgbt,#lgbtq,#siblings,#british,#dramedy,#slice_of_life,comedy,comedy,comedy,"	"https://tapas.io/series/Waste-Of-Time/info"
 Loan Shark 	YESSSSS	24/39	61.53846153846154	"bl,bl,bl,"	"https://tapas.io/series/Loan-Shark/info"
 Flowerpot 	No	24/40	60.0	"slice of life,slice of life,slice of life,"	"https://tapas.io/series/Flowerpot/info"
 Kiss it Goodbye 	YESSSSS	25/41	60.97560975609756	"gl,gl,romance,slice of life,gl,romance,slice of life,"	"https://tapas.io/series/Kiss-it-Goodbye/info"
 Magiform 	No	25/42	59.523809523809526	"#cute,#monsters,#superhero,#animals,#cats,#nature,#cosmic,#kids_comic,#cute,#monsters,#superhero,#animals,#cats,#nature,#cosmic,#kids_comic,fantasy,fantasy,fantasy,"	"https://tapas.io/series/Magiform/info"
 Meet me @107 	YESSSSS	26/43	60.46511627906976	"#yaoi,#romance,#shounen_ai,#comedy,#bl,#nsfw,#boys_love,#yaoi,#romance,#shounen_ai,#comedy,#bl,#nsfw,#boys_love,bl,bl,bl,"	"https://tapas.io/series/Meet-me-107/info"
 Critter Comics 	No	26/44	59.09090909090909	"#comics,#bugs,#moth,#snail,#comics,#bugs,#moth,#snail,slice of life,slice of life,slice of life,"	"https://tapas.io/series/Critter-Comics/info"
 Kevin's Bubble 	YESSSSS	27/45	60.0	"#love,#lesbian,#gay,#school,#bubble,#bisexual,#teenager,#high_school,#diversity,#transexual,#kevin,#trans,#intersexual,#ltgbi,#love,#lesbian,#gay,#school,#bubble,#bisexual,#teenager,#high_school,#diversity,#transexual,#kevin,#trans,#intersexual,#ltgbi,romance,romance,bl,lgbtq+,romance,bl,lgbtq+,"	"https://tapas.io/series/Kevins-Bubble/info"
 Falling From Cloud Nine 	No	27/46	58.69565217391305	"drama,drama,drama,"	"https://tapas.io/series/ffc9/info"
 Pride Comic Contest 2020 	YESSSSS	28/47	59.57446808510638	"lgbtq+,lgbtq+,lgbtq+,"	"https://tapas.io/series/Pride-Comic-Contest-2020/info"
 Ample Time 	YESSSSS	29/48	60.416666666666664	"#lesbian,#yuri,#romance,#funny,#friendship,#comedy,#romantic,#everyday,#furry,#anthro,#anthropomorphic,#gl,#girl_love,#bffs,#ripple,#amethyst,#slice_of_life,#dew,#e_pon,#epon,#ample_time,#being_different,#lesbian,#yuri,#romance,#funny,#friendship,#comedy,#romantic,#everyday,#furry,#anthro,#anthropomorphic,#gl,#girl_love,#bffs,#ripple,#amethyst,#slice_of_life,#dew,#e_pon,#epon,#ample_time,#being_different,gl,gl,romance,lgbtq+,gl,romance,lgbtq+,"	"https://tapas.io/series/Ample-Time/info"
 the House (the Tim & Tone story) 	YESSSSS	30/49	61.224489795918366	"#comic,#romance,#horror,#music,#house,#queer,#punk,#lgbt,#comic_series,#halloween,#ocs,#runaway,#boylove,#gay_webcomic,#tim,#tone,#malemale,#tim_and_tone,#mlm,#boy_love,#gay_characters,#the_house,#tim__tone,#roadsters,#taz27,#comic,#romance,#horror,#music,#house,#queer,#punk,#lgbt,#comic_series,#halloween,#ocs,#runaway,#boylove,#gay_webcomic,#tim,#tone,#malemale,#tim_and_tone,#mlm,#boy_love,#gay_characters,#the_house,#tim__tone,#roadsters,#taz27,bl,bl,bl,"	"https://tapas.io/series/the-House-Tim--Tone-story/info"
 Nightmare Factory  	No	30/50	60.0	"#romance,#friendship,#scary,#camazing,#snails_comics,#kreyul,#kissae,#five_days,#romance,#friendship,#scary,#camazing,#snails_comics,#kreyul,#kissae,#five_days,horror,horror,horror,"	"https://tapas.io/series/ThePalette/info"
 Paper Roses 	No	30/51	58.82352941176471	"romance,romance,romance,"	"https://tapas.io/series/PaperRoses/info"
 Griefer Belt 	YESSSSS	31/52	59.61538461538461	"#gay,#drama,#crime,#queer,#lgbtq,#griefer_belt,#slice_of_life,#black_comedy,#queer_creator,#lgbtq_creator,#gay,#drama,#crime,#queer,#lgbtq,#griefer_belt,#slice_of_life,#black_comedy,#queer_creator,#lgbtq_creator,drama,drama,drama,"	"https://tapas.io/series/Griefer-Belt/info"
